Banner,Module,State,TC_ID,Iteration,Item_EAN,Item_type,Item_eligible_status,Card_number,Card_type,Card_status,Promotion_description,Instant_win_offer,Instant_win_offer_redeem,Choice_offer,Collectable_offer,Exciting_news_popup,Redeem_amount,Instant_win_notification,Notification_message
SM,LPR,Done,TC_003_VerifyPointsFixedOfferForBasketValueAndEligibleItem,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_004_VerifyMultiplierOfferForEligibleProductsAndBasketValue,1,9339687023882;9315087192083,,,9355215896100,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_004_VerifyMultiplierOfferForEligibleProductsAndBasketValue,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,1,9339687023882,,,9355215896056,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,3,9339687023882;9315087192083;9315087192083;9315087192083;9315087192083,,,,,,,,,,,,,,
SM,LPR,Done,TC_005_VerifyContinuityCampaignForEligibleProductsAndBasketValue,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_006_VerifyTieredSpendCampaignForEligibleArticles,1,9323966119038;9338441000985,,Eligible,9353098183942,EDR,ACTIVE,1235590,,,,,,,,
SM,LPR,Done,TC_006_VerifyTieredSpendCampaignForEligibleArticles,2,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_006_VerifyTieredSpendCampaignForEligibleArticles,3,9310088007213;9310175700119;9310175100117;9310175700126;9300633453633;9300675012249;9300675079716;8002270023590;9310088007169;9310088007206;9310088007176;9310088007190;9310088007183;852696000488,,,,,,,,,,,,,,
SM,LPR,Done,TC_007_VerifyTieredSpendCampaignWithRegisteredCard,1,8720077181786,,,9353180804441,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_007_VerifyTieredSpendCampaignWithRegisteredCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_007_VerifyTieredSpendCampaignWithRegisteredCard,3,9339687023882;9315087192083;9315087192083,,,,,,,,,,,,,,
SM,LPR,Done,TC_008_VerifyDiscountBasketCampaignsWithXmas,1,9339687023882;9315087192083;8720077181786,,,9353166820915,WRC,ACTIVE,WOW 10% OFFER,,,Market Day Mobile 10 percent off,,,,,
SM,LPR,Done,TC_008_VerifyDiscountBasketCampaignsWithXmas,2,8414775016975;8414775016975,Age Restriction,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_009_VerifyDiscountProductCampaignsWithQantas,1,9300633594176;9300633594176,,Eligible,9353180804441,,,BUNCH OFFER,,,,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_009_VerifyDiscountProductCampaignsWithQantas,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_0010_VerifyBOGOWithSDCCard,1,8720077181786;9339516062402,,Eligible,9355164247497,SDC,ACTIVE,Buy Epson NX230 Printer to get Epson 91N Magenta Catridge Ink for free;Team Discount,,,,,,,,
SM,LPR,Done,TC_0010_VerifyBOGOWithSDCCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_0011_VerifyStampCardWithEDRCard,1,9300605302136;9300605302136;9300605302136;9300605302136;9300605302136,,Eligible,9353180804441,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_0011_VerifyStampCardWithEDRCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_0011_VerifyStampCardWithEDRCard,3,9300605302136;9300605302136;9300605302136;9300605302136;9300605302136,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_0011_VerifyStampCardWithEDRCard,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,1,9339687023882;9315087192083;076750436640009036009313012991,,,9353109614656,WRC,ACTIVE,,,,,,,10,,
SM,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,2,9339687023882;9315087192083,,Ineligible,9353109614656,,,,,,,,,,,
SM,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,3,9339687023882;9315087192083;8720077181786,,,,,,,,,,,,,,
SM,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,1,9339687023882;9315087192083;8720077181786,,,9355215896056,WRC,ACTIVE,,,,,,,10,,
SM,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,3,9339687023882;9315087192083;8720077181786,,,,,,,,,,,,10,,
SM,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,1,9300633594176;9300633594176;9300633594176,,Eligible,9353180804441,WRC,ACTIVE,BUNCH OFFER,,,,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,3,9300633594176;9300633594176;9300633594176,,Eligible,9353180804441,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,1,9300633594176;9300633594176;9300633594176,,Eligible,9353100734100,WRC,ACTIVE,BUNCH OFFER,,,,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,3,9300633594176;9300633594176;9300633594176,,Eligible,9353100734100,WRC,ACTIVE,BUNCH OFFER,,,,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_016_VerifyOffersAndPointsCouponLockingWithin3minsSaveAndRecall,1,9300633594176;9300633594176;9300633594176,,Eligible,9353180804441,WRC,ACTIVE,BUNCH OFFER;WOW 10% OFFER,,,Market Day Mobile 10 percent off,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_016_VerifyOffersAndPointsCouponLockingWithin3minsSaveAndRecall,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_017_VerifyTeamBenefitsOffers&SubscriptionSDCCard,1,9323966119038;9338441000985;9300677010755,,Eligible,9344770036069,SDC,ACTIVE,Our WW Brand Disc;Team Discount,,,,,,,,
SM,LPR,Done,TC_017_VerifyTeamBenefitsOffers&SubscriptionSDCCard,2,9323966119038;9338441000985;9300677010755,,,,,,Our WW Brand Disc;Team Discount,,,,,,,,
SM,LPR,Done,TC_017_VerifyTeamBenefitsOffers&SubscriptionSDCCard,3,076750436640009036009313012991,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_017_VerifyTeamBenefitsOffers&SubscriptionSDCCard,4,076750436640009036009313012991,,Ineligible,,,,Our WW Brand Disc;WOW 10% OFFER;Team Discount,,,Everyday Extra 5 percent off,,,,,
SM,LPR,Done,TC_018_VerifyInstantWinNotificationPointsReward&SavedPromotions,1,9300677011523;9300677011523;9300677011523;9300677011523;9300677011523;9300677011523;9300677011523;9300677011523;9300677011523,Eligible,,9353180804441,WRC,ACTIVE,Shop & Scan to Win,,50 off,,,,,"You've won 2,000 Everyday Rewards points. Complete purchase to collect these points. T&Cs apply._Yes",
SM,LPR,Done,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,1,9300677010670;9300677011523;9300677010663,,Eligible,9353105915450,WRC,ACTIVE,BUNCH OFFER;Shop & Scan to Win;WOW 10% OFFER,You have won $25 off an in-store shop. Complete purchase to redeem your prize. T&C's apply._Use now,50 off,Market Day Mobile 10 percent off,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,2,9300633594176;9328854011524,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,3,9315087192083;9315087192083;9339687023882,,,,,,,,,,,,,,
SM,LPR,Done,TC_019_VerifyInstantWinApproval&SavedPromotionsUseNowOtherPromptsValidations,4,8414775016975;8414775016975,Age Restriction,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,1,9300677010670;9300677011523;9300677010663,,Eligible,9353105915450,WRC,ACTIVE,BUNCH OFFER;Shop & Scan to Win;WOW 10% OFFER,You have won $25 off an in-store shop. Complete purchase to redeem your prize. T&C's apply._Save for later,10 off,Market Day Mobile 10 percent off,,Congratulations - You’ve redeemed your Bunch sample!!_OK,,,
SM,LPR,Done,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,2,9300633594176;9300633594176,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,3,9315087192083;9315087192083;9339687023882,,,,,,,,,,,,,,
SM,LPR,Done,TC_020_VerifyInstantWinApproval&SavedPromotionsSaveForLaterOtherPromptsValidations,4,8414775016975;8414775016975,Age Restriction,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_022_VerifyOpenOffersForUnregisteredCard,1,9356044248337;9356044248337,,Eligible,9344450008836,WRC,Unregistered,Buy any Bonds product and get 10% off;New Price_Buy 2 Coke For $1;Buy Epson NX230 Printer to get Epson 91N Magenta Catridge Ink for free;Buy 5 KitKat get $5 off,,,,,,,,
SM,LPR,Done,TC_022_VerifyOpenOffersForUnregisteredCard,2,9300602355692;9300602355692;9300602355692,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_022_VerifyOpenOffersForUnregisteredCard,3,8720077181786,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_022_VerifyOpenOffersForUnregisteredCard,4,9342937005316;9342937005316;9342937005316;9342937005316;9342937005316,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_022_VerifyOpenOffersForUnregisteredCard,5,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_023_VerifyCombinationalOfProductCategoryAndBasketPointsOffers,1,9349673003620;9349673003552,,Eligible,9353105847133,WRC,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_023_VerifyCombinationalOfProductCategoryAndBasketPointsOffers,2,5010775192324;5010775195936,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_023_VerifyCombinationalOfProductCategoryAndBasketPointsOffers,3,9315265004078;9300633026028,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_023_VerifyCombinationalOfProductCategoryAndBasketPointsOffers,4,9315087192083,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_024_VerifyCombinationalOfProductCategoryAndBasketDiscountOffers,1,9342937005316;9342937005316;9342937005316;9342937005316;9342937005316;9342937005316,,Eligible,9344770036069,SDC,ACTIVE,Buy 5 KitKat get $5 off;BUNCH OFFER;Our WW Brand Disc;WOW 10% OFFER;Team Discount,,,Market Day Mobile 10 percent off,,,,,
SM,LPR,Done,TC_024_VerifyCombinationalOfProductCategoryAndBasketDiscountOffers,2,9300633594176;9300633594176,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_024_VerifyCombinationalOfProductCategoryAndBasketDiscountOffers,3,9300677010755;9300677010755,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_024_VerifyCombinationalOfProductCategoryAndBasketDiscountOffers,4,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_025_VerifyBNIPromptsAndOffersBounceBackWithFreeProduct,1,9310015247811,,Eligible,9353179617069,WRC,ACTIVE,Big Night In Winner,,,,,,,,You've won a free product on your next in-store shop. Complete purchase to save your prize. See receipt for details. T&Cs apply.
SM,LPR,Done,TC_025_VerifyBNIPromptsAndOffersBounceBackWithFreeProduct,2,9339423009071,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_026_VerifyBNIPromptsAndOffersPointsRewardWithFreeProduct,1,9310072023205,,Eligible,9353148663592,WRC,ACTIVE,Big Night In Winner,,,,,,,,You've won 2000 Everyday Rewards points. Complete purchase to collect these points. See receipt for details. T&Cs apply.
SM,LPR,Done,TC_026_VerifyBNIPromptsAndOffersPointsRewardWithFreeProduct,2,9339423009071,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_035_VerifySCOOptedOutForReceiptCard,1,9315087192083,,Eligible,9344777480438,SCO,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_035_VerifySCOOptedOutForReceiptCard,2,9315087192083,,Eligible,9344777480438,SCO,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_036_VerifySCOOptedOutForReceiptCard,1,9315087192083,,Eligible,9355130958419,SCO,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_036_VerifySCOOptedOutForReceiptCard,2,9315087192083,,Eligible,9355130958419,SCO,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_027_VerifyBNIPromptsAndOffersMultipleFreeProducts,1,9339423009071;9339423009071,,Eligible,9353105847171,WRC,ACTIVE,Big Night In Winner,,,,,,,,
SM,LPR,Done,TC_027_VerifyBNIPromptsAndOffersMultipleFreeProducts,2,9300675087902;9300675087902;9300675087902,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_027_VerifyBNIPromptsAndOffersMultipleFreeProducts,3,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_08A_VerifyDiscountBasketCampaignMarketDayOffer,1,9323966119038;9338441000985;9348378001450,,Eligible,9353180804441,WRC,ACTIVE,Market day 10%,,,Market day 10%,,,,,
SM,LPR,Done,TC_08A_VerifyDiscountBasketCampaignMarketDayOffer,2,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_09_VerifyDiscountProductCampaignBunchOffer,1,9328854011524;9300633594176;9323966119038;9338441000985;9348378001450,,Eligible,9353187352211,WRC,ACTIVE,Test Bunch sample,,,,,,,,
SM,LPR,Done,TC_09_VerifyDiscountProductCampaignBunchOffer,2,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_02_VerifyBasketPointsFixedCampaign,1,9323966119038;9338441000985;9348378001450,,Eligible,9355215896056,EDR,ACTIVE,867556,,,,,,,,
SM,LPR,Done,TC_02_VerifyBasketPointsFixedCampaign,2,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_038_VerifyOpenOffersForRegisteredCard,1,9356044248337;9356044248337,,Eligible,9353186777909,WRC,ACTIVE,Buy any Bonds product and get 10% off;New Price_Buy 2 Coke For $1;Buy Epson NX230 Printer to get Epson 91N Magenta Catridge Ink for free;Buy 5 KitKat get $5 off,,,,,,,,
SM,LPR,Done,TC_038_VerifyOpenOffersForRegisteredCard,2,9300602355692;9300602355692;9300602355692,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_038_VerifyOpenOffersForRegisteredCard,3,8720077181786,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_038_VerifyOpenOffersForRegisteredCard,4,9342937005316;9342937005316;9342937005316;9342937005316;9342937005316,,Eligible,,,,,,,,,,,,
SM,LPR,Done,TC_038_VerifyOpenOffersForRegisteredCard,5,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_040_VerifyIWithSuspendedCard,1,9339687023882;9315087192083,,,9353180804441,WRC,Suspended,,,,,,,,,
SM,LPR,Done,TC_040_VerifyIWithSuspendedCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_041_VerifyIWithTerminatedCard,1,9339687023882;9315087192083,,,9353180804441,WRC,Terminated,,,,,,,,,
SM,LPR,Done,TC_041_VerifyIWithTerminatedCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_042_CrossTasmanEDRCard,1,9339687023882;9315087192083,,,9490000000123,NZ EDR,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_042_CrossTasmanEDRCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_043_CrossTasmanSDCCard,1,9339687023882;9315087192083,,,9344440000130,NZ SDC,ACTIVE,Team Discount,,,,,,,,
SM,LPR,Done,TC_043_CrossTasmanSDCCard,2,9339687200924;9339687200924,,Ineligible,,,,,,,,,,,,
BigW,LPR,Done,TC_050_VerifyCrossTasmanEDRCard,1,9310022407307;9300605102330,,,9490000000123,NZ EDR,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_003_VerifyProductPointsMultiplierWithQantasCard,1,9329937007182;9329937007069,,Eligible,9355215896100,EDR,ACTIVE,867556,,,,,,,,
SM,LPR,Done,TC_003_VerifyProductPointsMultiplierWithQantasCard,2,076750436640009036009313012991,Gift Card,Ineligible,,,,,,,,,,,,
SM,LPR,Done,TC_005_VerifyContinuityCampaignWithXMASCard,1,9323966119038;9338441000985;9348378001450,,Eligible,9355215896056,EDR,ACTIVE,867556,,,,,,,,
SM,LPR,Done,TC_005_VerifyContinuityCampaignWithXMASCard,2,076750436640009036009313012991,Gift Card,Ineligible,,,,1206515,,,,,,,,
SM,LPR,Done,TC_037_ValidationOfZeroReward,1,9356044248337;9312997258540;9312997258533,,Eligible,9353172002619,EDR,ACTIVE,,,,,,,,,
SM,LPR,Done,TC_049_ValidationOfTouchpointsEligibleTouchpoints,1,9310640620058,POS offer,Eligible,9353109564258,EDR,ACTIVE,Touchpoint offer 103061376,,,,,,,,
SM,LPR,Done,TC_039_ValidationOfRedemptionSegment,1,9356044248337;9312997258540,,Eligible,9353109614304,,ACTIVE,,,,,,,20,,
NZ,LPR,Done,TC_02_VerifyBasketPointsFixedCampaign,1,9420014248488,,,9490014387227,WRC,ACTIVE,1611548 - Basket Offer-NZ-Spend 50$ get 1000 pts,,,,,,,,
NZ,LPR,Done,TC_02_VerifyBasketPointsFixedCampaign,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_003_VerifyProductPointsMultiplierWithQantasCard,1,2100002689642;2100002689642,,Eligible,9490014384929,WRC,ACTIVE,100517021 - Product Multiplier | LPI-0002 - Article 268964,,,,,,,,
NZ,LPR,Done,TC_003_VerifyProductPointsMultiplierWithQantasCard,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_004_VerifyMultiplierOfferForEligibleProductsAndBasketValue,1,9420014248488,,,9490014387210,WRC,ACTIVE,1611557 - Basket Offer-NZ-Spend 50$ get 3x pt,,,,,,,,
NZ,LPR,Done,TC_004_VerifyMultiplierOfferForEligibleProductsAndBasketValue,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_007_VerifyTieredSpendCampaignWithRegisteredCard,1,9420014248488,,,9490000001052,WRC,ACTIVE,1615518 - Basket Offer-NZ-Tiered Spend for Points,,,,,,,,
NZ,LPR,Done,TC_007_VerifyTieredSpendCampaignWithRegisteredCard,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_007_VerifyTieredSpendCampaignWithRegisteredCard,3,9400597035897,,,,,,,,,,,,,,
NZ,LPR,Done,TC_08A_VerifyDiscountBasketCampaignMarketDayOffer,1,9420014248488;9400597035897;9420014248488,,,9490000001069,WRC,ACTIVE,1611545 - Basket Offer-NZ- Discount 25$ spend 150$,,,,,,,,
NZ,LPR,Done,TC_08A_VerifyDiscountBasketCampaignMarketDayOffer,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_09_VerifyDiscountProductCampaignBunchOffer,1,2100001012755;9421902591099,,Eligible,9490014384929,WRC,ACTIVE,1614118 - Countdown Bunch Offer- Free Cheese_UAT - Articles 101275,101516,101953,102089,281626,,,,
NZ,LPR,Done,TC_09_VerifyDiscountProductCampaignBunchOffer,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,1,9400597035897;9421905537377,,,9490012007707,WRC,ACTIVE,WOW redemption,,,,,,,,
NZ,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,3,9400597035897;9421905537377,,,,,,,,,,,,,,
NZ,LPR,Done,TC_012_VerifyPointsCardLockingWithin3mins,4,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,1,9400597035897;9421905537377,,,9490012000814,WRC,ACTIVE,WOW redemption,,,,,,,,
NZ,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,3,9400597035897;9421905537377,,,,,,,,,,,,,,
NZ,LPR,Done,TC_013_VerifyPointsCardLockingAfter3mins,4,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,1,2100001012755;9421902591099,,Eligible,9490014384929,WRC,ACTIVE,1614118 - Countdown Bunch Offer- Free Cheese_UAT - Articles 101275,101516,101953,102089,281626,,,,
NZ,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,3,2100001012755;9421902591099,,Eligible,,,,,,,,,,,,
NZ,LPR,Done,TC_014_VerifyOffersCouponLockingWithin3mins,4,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,1,2100001012755;9421902591099,,Eligible,9490014384929,WRC,ACTIVE,1614118 - Countdown Bunch Offer- Free Cheese_UAT - Articles 101275,101516,101953,102089,281626,,,,
NZ,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,3,2100001012755;9421902591099,,Eligible,,,,,,,,,,,,
NZ,LPR,Done,TC_015_VerifyOffersCouponLockingAfter3mins,4,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
NZ,LPR,Done,TC_016_VerifyOffersAndPointsCouponLockingWithin3minsSaveAndRecall,1,2100001012755;9421902591099,,Eligible,9344440000147,WRC,ACTIVE,1614118 Bunch+1614277 Choice10percent+1614267 SMKT Base5percent,,,,,,,,
NZ,LPR,Done,TC_016_VerifyOffersAndPointsCouponLockingWithin3minsSaveAndRecall,2,2100001429232;9300633466336,,Ineligible,,,,,,,,,,,,
